zones,beginning_of_datetime
b8:27:eb:c2:5e:fa,2018-10-16T13:19:02
b8:27:eb:c2:5e:fa,2018-10-16T13:19:11
b8:27:eb:c2:5e:fa,2018-10-16T13:19:16
b8:27:eb:c2:5e:fa,2018-10-16T13:19:22
b8:27:eb:c2:5e:fa,2018-10-16T13:19:29
b8:27:eb:ef:5e:d6,2018-10-16T13:19:33
b8:27:eb:ef:5e:d6,2018-10-16T13:19:47
b8:27:eb:ef:5e:d6,2018-10-16T13:19:56
b8:27:eb:ef:5e:d6,2018-10-16T13:20:11
b8:27:eb:ef:5e:d6,2018-10-16T13:20:20
b8:27:eb:ef:5e:d6,2018-10-16T13:20:32
b8:27:eb:ef:5e:d6,2018-10-16T13:20:40
b8:27:eb:ef:5e:d6,2018-10-16T13:20:44
b8:27:eb:ef:5e:d6,2018-10-16T13:20:48
b8:27:eb:ef:5e:d6,2018-10-16T13:20:54
b8:27:eb:a8:46:4b,2018-10-16T13:21:03
b8:27:eb:a8:46:4b,2018-10-16T13:21:08
b8:27:eb:a8:46:4b,2018-10-16T13:21:12
b8:27:eb:ef:5e:d6,2018-10-16T13:21:16
b8:27:eb:ef:5e:d6,2018-10-16T13:21:20
b8:27:eb:ef:5e:d6,2018-10-16T13:21:28
b8:27:eb:ef:5e:d6,2018-10-16T13:21:32
b8:27:eb:ef:5e:d6,2018-10-16T13:21:37
b8:27:eb:ef:5e:d6,2018-10-16T13:21:43
b8:27:eb:ef:5e:d6,2018-10-16T13:21:56
b8:27:eb:d4:ee:4b,2018-10-16T13:22:01
b8:27:eb:ef:5e:d6,2018-10-16T13:22:14
b8:27:eb:ef:5e:d6,2018-10-16T13:22:23
b8:27:eb:d4:ee:4b,2018-10-16T13:22:28
b8:27:eb:d4:ee:4b,2018-10-16T13:22:33
b8:27:eb:ef:5e:d6,2018-10-16T13:22:37
b8:27:eb:d4:ee:4b,2018-10-16T13:22:42
b8:27:eb:d4:ee:4b,2018-10-16T13:22:46
b8:27:eb:d4:ee:4b,2018-10-16T13:22:51
b8:27:eb:ef:5e:d6,2018-10-16T13:22:56
b8:27:eb:d4:ee:4b,2018-10-16T13:23:01
b8:27:eb:d4:ee:4b,2018-10-16T13:23:06
b8:27:eb:d4:ee:4b,2018-10-16T13:23:11
b8:27:eb:d4:ee:4b,2018-10-16T13:23:16
b8:27:eb:d4:ee:4b,2018-10-16T13:23:24
b8:27:eb:d4:ee:4b,2018-10-16T13:23:29
b8:27:eb:ef:5e:d6,2018-10-16T13:23:34
b8:27:eb:d4:ee:4b,2018-10-16T13:23:44
b8:27:eb:d4:ee:4b,2018-10-16T13:23:48
b8:27:eb:d4:ee:4b,2018-10-16T13:23:53
b8:27:eb:ef:5e:d6,2018-10-16T13:23:58
b8:27:eb:d4:ee:4b,2018-10-16T13:24:03
b8:27:eb:d4:ee:4b,2018-10-16T13:24:07
b8:27:eb:d4:ee:4b,2018-10-16T13:24:13
b8:27:eb:d4:ee:4b,2018-10-16T13:24:18
b8:27:eb:d4:ee:4b,2018-10-16T13:24:22
b8:27:eb:d4:ee:4b,2018-10-16T13:24:28
b8:27:eb:d4:ee:4b,2018-10-16T13:24:34
b8:27:eb:d4:ee:4b,2018-10-16T13:24:40
b8:27:eb:d4:ee:4b,2018-10-16T13:24:45
b8:27:eb:d4:ee:4b,2018-10-16T13:24:54
b8:27:eb:d4:ee:4b,2018-10-16T13:24:59
b8:27:eb:d4:ee:4b,2018-10-16T13:25:03
b8:27:eb:d4:ee:4b,2018-10-16T13:25:11
b8:27:eb:d4:ee:4b,2018-10-16T13:25:18
b8:27:eb:d4:ee:4b,2018-10-16T13:25:26
b8:27:eb:d4:ee:4b,2018-10-16T13:25:30
b8:27:eb:d4:ee:4b,2018-10-16T13:25:34
b8:27:eb:d4:ee:4b,2018-10-16T13:25:39
b8:27:eb:d4:ee:4b,2018-10-16T13:25:46
b8:27:eb:d4:ee:4b,2018-10-16T13:25:51
b8:27:eb:d4:ee:4b,2018-10-16T13:25:57
b8:27:eb:d4:ee:4b,2018-10-16T13:26:01
b8:27:eb:d4:ee:4b,2018-10-16T13:26:08
b8:27:eb:d4:ee:4b,2018-10-16T13:26:13
b8:27:eb:ef:5e:d6,2018-10-16T13:26:18
b8:27:eb:d4:ee:4b,2018-10-16T13:26:24
b8:27:eb:d4:ee:4b,2018-10-16T13:26:28
b8:27:eb:d4:ee:4b,2018-10-16T13:26:33
b8:27:eb:d4:ee:4b,2018-10-16T13:26:38
b8:27:eb:d4:ee:4b,2018-10-16T13:26:47
b8:27:eb:ef:5e:d6,2018-10-16T13:26:58
b8:27:eb:ef:5e:d6,2018-10-16T13:27:03
b8:27:eb:ef:5e:d6,2018-10-16T13:27:15
b8:27:eb:ef:5e:d6,2018-10-16T13:27:23
b8:27:eb:ef:5e:d6,2018-10-16T13:27:28
b8:27:eb:ef:5e:d6,2018-10-16T13:27:33
b8:27:eb:ef:5e:d6,2018-10-16T13:27:38
b8:27:eb:d4:ee:4b,2018-10-16T13:27:50
b8:27:eb:d4:ee:4b,2018-10-16T13:27:56
b8:27:eb:d4:ee:4b,2018-10-16T13:28:00
b8:27:eb:d4:ee:4b,2018-10-16T13:28:04
b8:27:eb:d4:ee:4b,2018-10-16T13:28:09
b8:27:eb:d4:ee:4b,2018-10-16T13:28:14
b8:27:eb:d4:ee:4b,2018-10-16T13:28:19
b8:27:eb:d4:ee:4b,2018-10-16T13:28:24
b8:27:eb:d4:ee:4b,2018-10-16T13:28:29
b8:27:eb:d4:ee:4b,2018-10-16T13:28:40
b8:27:eb:d4:ee:4b,2018-10-16T13:28:47
b8:27:eb:d4:ee:4b,2018-10-16T13:28:51
b8:27:eb:d4:ee:4b,2018-10-16T13:28:58
b8:27:eb:d4:ee:4b,2018-10-16T13:29:04
b8:27:eb:d4:ee:4b,2018-10-16T13:29:08
b8:27:eb:d4:ee:4b,2018-10-16T13:29:13
b8:27:eb:ef:5e:d6,2018-10-16T13:29:18
b8:27:eb:d4:ee:4b,2018-10-16T13:29:28
b8:27:eb:a8:46:4b,2018-10-16T13:34:15
b8:27:eb:d4:ee:4b,2018-10-16T13:34:19
b8:27:eb:a8:46:4b,2018-10-16T13:34:24
b8:27:eb:d4:ee:4b,2018-10-16T13:34:29
b8:27:eb:a8:46:4b,2018-10-16T13:34:34
b8:27:eb:d4:ee:4b,2018-10-16T13:34:39
b8:27:eb:d4:ee:4b,2018-10-16T13:34:44
b8:27:eb:d4:ee:4b,2018-10-16T13:34:50
b8:27:eb:a8:46:4b,2018-10-16T13:34:54
b8:27:eb:d4:ee:4b,2018-10-16T13:34:59
b8:27:eb:a8:46:4b,2018-10-16T13:35:03
b8:27:eb:a8:46:4b,2018-10-16T13:35:07
b8:27:eb:a8:46:4b,2018-10-16T13:35:12
b8:27:eb:d4:ee:4b,2018-10-16T13:35:16
b8:27:eb:d4:ee:4b,2018-10-16T13:35:20
b8:27:eb:a8:46:4b,2018-10-16T13:35:25
b8:27:eb:a8:46:4b,2018-10-16T13:35:29
b8:27:eb:d4:ee:4b,2018-10-16T13:35:34
b8:27:eb:d4:ee:4b,2018-10-16T13:35:39
b8:27:eb:a8:46:4b,2018-10-16T13:35:44
b8:27:eb:a8:46:4b,2018-10-16T13:35:51
b8:27:eb:a8:46:4b,2018-10-16T13:35:57
b8:27:eb:ef:5e:d6,2018-10-16T13:36:04
b8:27:eb:d4:ee:4b,2018-10-16T13:36:08
b8:27:eb:a8:46:4b,2018-10-16T13:36:12
b8:27:eb:c2:5e:fa,2018-10-16T13:36:17
b8:27:eb:a8:46:4b,2018-10-16T13:36:22
b8:27:eb:a8:46:4b,2018-10-16T13:36:27
b8:27:eb:d4:ee:4b,2018-10-16T13:36:32
b8:27:eb:a8:46:4b,2018-10-16T13:36:38
b8:27:eb:d4:ee:4b,2018-10-16T13:36:44
b8:27:eb:d4:ee:4b,2018-10-16T13:36:50
b8:27:eb:d4:ee:4b,2018-10-16T13:36:55
b8:27:eb:d4:ee:4b,2018-10-16T13:37:02
b8:27:eb:d4:ee:4b,2018-10-16T13:37:06
b8:27:eb:d4:ee:4b,2018-10-16T13:37:10
b8:27:eb:d4:ee:4b,2018-10-16T13:37:14
b8:27:eb:a8:46:4b,2018-10-16T13:37:18
b8:27:eb:a8:46:4b,2018-10-16T13:37:23
b8:27:eb:a8:46:4b,2018-10-16T13:37:27
b8:27:eb:d4:ee:4b,2018-10-16T13:37:32
b8:27:eb:d4:ee:4b,2018-10-16T13:37:37
b8:27:eb:a8:46:4b,2018-10-16T13:37:41
b8:27:eb:a8:46:4b,2018-10-16T13:37:47
b8:27:eb:c2:5e:fa,2018-10-16T13:37:52
b8:27:eb:ef:5e:d6,2018-10-16T13:37:57
b8:27:eb:c2:5e:fa,2018-10-16T13:38:01
b8:27:eb:c2:5e:fa,2018-10-16T13:38:06
b8:27:eb:ef:5e:d6,2018-10-16T13:38:11
